Timestamp,Name,Age,Gender,How often do you use the Orange Line Train?, What is your primary reason for using the Orange Line Train?,How punctual is the train service in your experience?,How do you rate the efficiency of the queue management system at ticket counters?,"How clean are the train stations, including the platforms and waiting areas?",How do you rate the cleanliness and maintenance of rest-rooms for passenger use? ,How often are the train stations and carriages cleaned and maintained?,How comfortable are the seats in the train carriages for extended journeys?,"Are the train stations and carriages accessible for people with disabilities (e.g., ramps, elevators)?","Is the temperature inside the train carriages comfortable, with appropriate cooling or heating systems?",Do you feel safe while traveling on the Orange Line Metro Train?,Have you ever witnessed or experienced any unsafe situations on the Orange Line Metro Train?,"Are there sufficient security measures, such as guards, CCTV cameras, and emergency response systems, in place?",How helpful and attentive are the staff members in assisting passengers with their needs?,Are real-time updates about train schedules and delays provided effectively?,Are there sufficient banners and information posters/screens inside station's premises?,Are the ticket prices reasonable and affordable for the majority of passengers?,Are there any special discounts or deals available for frequent riders or certain passenger groups?,How satisfied are you with the overall service quality of the Orange Line Metro Train?,How likely are you to recommend the Orange Line Metro Train to others?
2023-07-16 13:37:16,Mark Carter,<20,Male,Once or twice a year,University ,3,3,1,3,2,3,Don't know,Don't know,No,5,Maybe,2,Don't know,Don't know,No,Don't know,2,3
2023-07-16 20:09:38,Michael Adams,<20,Male,Once or twice a week,Study,1,2,1,2,1,2,Yes,Yes,Yes,5,Yes,4,Yes,Don't know,Yes,No,2,1
2023-07-16 20:41:54,Hannah Anderson,<20,Male,Once or twice a week,Work,1,5,2,2,1,1,Yes,Yes,Yes,4,Yes,1,Yes,Don't know,Yes,No,1,1
2023-07-16 22:17:57,Carol Jordan,<20,Female,Once or twice a week,Study,2,3,2,2,2,6,No,Yes,Yes,2,Yes,1,No,Don't know,Yes,Don't know,2,3
2023-07-17 01:38:32,Billy Page,<20,Male,Once or twice a week,Leisure,2,2,1,3,2,3,Yes,Yes,Yes,4,No,2,Yes,Yes,Yes,Don't know,3,2
2023-07-17 01:55:41,Paula Gardner,21-30,Male,Everday,Study,2,2,1,2,2,3,Don't know,Yes,Yes,1,Yes,3,Yes,Yes,Yes,No,5,1
2023-07-17 05:41:18,Caroline Clark,50+,Male,Everday,Study,1,0,1,0,1,1,Yes,Yes,Yes,4,Yes,2,Yes,Yes,Yes,No,1,1
2023-07-18 18:07:42,Joseph Fuentes,<20,Female,Once or twice a year,Work,3,0,2,2,2,3,Yes,Yes,Yes,3,Yes,4,No,No,No,No,1,1
2023-07-19 13:53:58,Stephen Fitzgerald,<20,Male,Everday,Work,1,2,1,1,2,2,Yes,Yes,Yes,1,Yes,3,Yes,No,Don't know,No,1,1
2023-07-19 15:27:25,Frances Wilson,<20,Female,Once or twice a year,Work,1,3,3,3,2,4,No,No,Yes,5,Maybe,2,Don't know,Yes,Yes,Don't know,2,2
2023-07-19 19:54:10,Sarah Ortiz,<20,Female,Once or twice a year,Work,1,1,2,3,2,3,Yes,Don't know,Yes,4,Maybe,2,No,Don't know,Yes,Don't know,2,2
2023-07-20 09:38:15,Stephanie Peterson,<20,Female,Once or twice a year,For going market ,5,2,2,3,2,3,Don't know,Don't know,No,2,Maybe,3,Don't know,Don't know,No,Don't know,1,4
2023-07-20 14:34:16,Evelyn Neal,<20,Male,Once or twice a month,Study,1,1,2,2,2,2,Yes,Yes,Yes,5,Yes,2,No,No,Yes,Yes,2,1
2023-07-20 14:48:03,Victoria Manning,41-50,Male,Once or twice a year,Study,5,3,2,2,4,2,Yes,No,Yes,2,Yes,2,Don't know,No,Don't know,Don't know,1,1
2023-07-20 21:30:03,Spencer Riddle,50+,Male,Once or twice a month,University ,1,3,1,3,1,3,Don't know,Yes,No,1,Yes,2,No,Yes,Yes,Don't know,1,2
2023-07-22 20:51:04,Travis Hunt,21-30,Male,Once or twice a month,Work,1,3,1,2,2,2,Yes,Yes,Yes,3,Yes,1,Yes,Yes,Yes,No,3,1
2023-07-23 05:34:10,Whitney Hess,<20,Male,Everday,Study,1,1,1,3,2,1,Yes,Yes,Yes,5,Yes,2,Yes,Yes,Yes,No,1,1
2023-07-24 05:33:59,Brittany Smith,<20,Male,Once or twice a year,Work,4,2,1,2,2,4,No,No,Yes,5,No,4,No,No,Don't know,Don't know,2,4
2023-07-24 12:19:00,Michele Walls,21-30,Male,Once or twice a year,Study,1,2,3,3,2,6,Don't know,Yes,Yes,5,Maybe,2,No,Don't know,Yes,No,2,1
2023-07-25 12:38:40,Melissa Holland,<20,Male,Everday,Work,5,2,1,4,2,3,Yes,Yes,Yes,5,Yes,2,Yes,Yes,Yes,No,2,1
2023-07-25 22:21:17,Matthew Holden,<20,Male,Everday,Leisure,5,3,2,6,2,2,Don't know,Don't know,Yes,5,Yes,3,Don't know,Don't know,Yes,Yes,3,4
2023-07-26 02:19:17,Michael Mendez,<20,Male,Once or twice a week,Work,3,3,1,4,2,2,Don't know,No,Yes,2,Maybe,0,Don't know,Don't know,Yes,No,2,1
2023-07-26 02:21:37,Ricky Smith,<20,Male,Everday,Work,1,2,1,2,2,4,Yes,Yes,Yes,0,Yes,2,Don't know,Yes,Yes,No,2,1
2023-07-27 16:59:20,Ruth Castillo,21-30,Male,Everday,Work,1,0,1,2,1,2,Yes,Yes,Yes,5,Yes,2,Yes,Yes,Yes,No,1,1
2023-07-27 20:18:38,Jesse Silva,<20,Male,Everday,Study,1,1,1,1,2,2,Yes,Yes,Yes,5,Yes,1,Yes,Yes,Yes,No,1,1
2023-07-28 08:46:07,John Rowe,21-30,Male,Once or twice a year,Study,1,3,1,1,2,1,Yes,Yes,Yes,5,Yes,1,Don't know,Yes,Yes,No,2,1
2023-07-28 15:09:55,Kristina Wilcox,<20,Male,Once or twice a month,Study,1,2,2,0,1,2,Yes,Yes,Yes,5,Yes,2,No,Yes,Yes,No,1,1
2023-07-28 19:54:43,Scott Mccall,<20,Male,Once or twice a month,Study,1,4,1,3,2,2,Yes,Yes,Yes,5,Maybe,4,Yes,Yes,Yes,No,1,1
2023-07-28 22:54:17,Ronald Atkinson,<20,Female,Once or twice a year,Study,4,3,1,2,2,3,Don't know,No,Yes,5,Yes,2,Yes,No,Yes,Yes,2,2
2023-07-29 06:03:47,Kelly Franklin,<20,Male,Once or twice a year,Leisure,4,3,5,2,2,2,Don't know,Yes,Yes,1,Yes,2,Don't know,Don't know,No,No,2,1
2023-07-29 19:18:57,Michael Sullivan,<20,Male,Once or twice a year,Leisure,2,3,2,6,2,4,Don't know,No,No,4,No,3,Don't know,Don't know,No,No,2,2
2023-07-30 00:24:50,Chad Price,<20,Male,Once or twice a year,Leisure,3,2,2,1,6,1,Yes,Don't know,Yes,4,Maybe,3,Don't know,Don't know,No,No,2,2
2023-07-30 15:42:50,Krystal Hendricks,<20,Female,Once or twice a year,Study,4,3,2,2,2,2,Don't know,No,Yes,5,Maybe,3,Don't know,Don't know,No,Don't know,3,5
2023-07-30 16:49:22,Angie Chapman,<20,Female,Once or twice a year,Leisure,2,3,1,3,2,3,Don't know,Don't know,Yes,5,Maybe,3,Don't know,Don't know,No,Don't know,2,2
2023-07-30 20:03:59,Jonathon Gibson,<20,Male,Everday,Study,1,2,2,2,1,2,Yes,Yes,Yes,5,Yes,1,Yes,Yes,Yes,No,2,1
2023-07-31 00:12:41,Brian Whitaker,<20,Male,Once or twice a week,Study,4,3,2,3,2,2,Yes,Yes,Yes,2,No,3,Don't know,Yes,No,No,3,1
2023-07-31 04:26:24,Matthew Kennedy Jr.,21-30,Male,Once or twice a year,Work,2,3,4,2,2,2,Don't know,Yes,Yes,5,No,3,Don't know,Don't know,Yes,Don't know,1,1
2023-07-31 22:21:08,Caitlin Phelps,<20,Male,Everday,Study,2,4,1,2,2,4,Yes,Yes,Yes,4,Maybe,1,Yes,Yes,Yes,Yes,2,1
2023-08-01 15:44:48,Briana Jones,50+,Male,Once or twice a month,Study,1,0,1,2,2,3,Don't know,Yes,Yes,5,Yes,3,No,No,Yes,Yes,2,2
2023-08-01 16:57:22,James Benton,21-30,Male,Everday,Study,1,3,1,2,1,1,Yes,Yes,Yes,5,Yes,2,Yes,Yes,Yes,No,1,1
2023-08-01 21:15:50,Deborah Hall,<20,Male,Once or twice a week,Study,1,2,1,2,1,1,Yes,Yes,Yes,5,Yes,2,Don't know,Don't know,Yes,No,1,1
2023-08-01 22:03:41,Charles Cain,<20,Male,Once or twice a year,Study,5,2,2,3,2,4,Don't know,No,Yes,5,Maybe,2,Don't know,No,Don't know,Don't know,2,1
2023-08-01 23:09:25,Sean Morrow,<20,Male,Everday,Study,1,4,1,2,1,2,Yes,Yes,Yes,5,Yes,1,Yes,Yes,Yes,No,2,1
2023-08-02 00:44:32,Justin Smith,<20,Female,Everday,Study,4,2,4,2,1,4,Yes,Yes,Yes,1,Maybe,4,Yes,Yes,Yes,No,1,1
2023-08-02 02:01:16,Kristin Campos,50+,Male,Once or twice a week,Study,1,4,1,3,2,2,Yes,Don't know,Yes,1,Yes,2,Yes,Yes,Yes,Yes,1,1
2023-08-02 11:01:08,Michael Velazquez MD,<20,Female,Once or twice a week,Going somewhere ,1,2,1,2,3,1,No,Don't know,Yes,1,No,2,Yes,Yes,Yes,Yes,3,1
2023-08-02 16:48:28,Grace Davis,<20,Male,Once or twice a week,Study,4,4,1,4,2,3,Yes,Yes,Yes,1,Yes,0,Yes,Don't know,Yes,No,1,1
2023-08-02 19:04:28,Darrell Roberson,21-30,Female,Once or twice a month,Market or other places ,2,2,3,2,2,3,Yes,No,Yes,4,No,2,Yes,No,Yes,Yes,2,1
2023-08-02 21:02:44,Danny Simpson,21-30,Female,Everday,Study,1,2,1,3,2,2,Yes,Yes,Yes,4,Yes,1,Yes,Yes,Yes,No,1,1
2023-08-02 22:26:03,Katrina Peterson,<20,Female,Once or twice a year,Leisure,3,3,2,6,4,2,Yes,No,No,4,Maybe,3,Don't know,Don't know,Don't know,Don't know,2,1
2023-08-02 23:07:38,Kenneth Perez,21-30,Male,Once or twice a month,Work,1,1,2,2,1,2,Don't know,Yes,Yes,0,Maybe,4,No,No,Yes,No,1,1
2023-08-03 20:16:44,James Chang,<20,Male,Once or twice a week,Study,1,3,1,3,1,1,Yes,Yes,Yes,5,Yes,2,Yes,Yes,Yes,No,2,1
2023-08-03 22:37:00,Timothy Newton,<20,Male,Once or twice a year,Study,1,3,3,3,2,3,Don't know,Don't know,Yes,3,Maybe,3,No,Yes,Don't know,No,2,2
2023-08-04 21:35:48,Dr. Ian Cruz,<20,Female,Once or twice a year,Study,1,2,1,2,2,3,Yes,Yes,Yes,3,Yes,2,No,Yes,Yes,No,2,1
2023-08-05 08:40:45,Richard Morales,21-30,Male,Once or twice a month,Leisure,1,5,1,1,1,2,Don't know,Yes,Yes,4,Yes,1,Yes,Yes,Yes,No,2,1
2023-08-05 21:35:57,Kaitlin Douglas,<20,Male,Once or twice a year,Study,5,0,1,3,2,2,Don't know,Yes,No,3,Maybe,3,Don't know,No,No,Don't know,2,2
2023-08-05 21:45:24,Thomas Reynolds,<20,Male,Once or twice a month,Leisure,1,2,2,0,2,1,Don't know,Yes,Yes,4,Yes,3,Yes,Don't know,Yes,Don't know,1,1
2023-08-05 22:08:21,James Miranda,<20,Female,Once or twice a month,Leisure,3,3,1,5,3,2,No,Yes,Yes,4,No,1,Yes,Yes,No,No,1,4
2023-08-06 00:45:36,Sharon Castillo MD,<20,Female,Once or twice a year,Leisure,6,2,2,3,3,2,Don't know,No,Yes,5,Maybe,3,Don't know,Don't know,No,Don't know,2,3
2023-08-06 03:29:19,Gregory Sanchez,<20,Male,Everday,Work,2,1,1,3,2,1,Yes,Yes,Yes,5,Yes,2,Yes,Yes,Yes,No,1,1
2023-08-06 14:53:28,Tyler Porter,<20,Male,Once or twice a year,Work,1,2,1,2,2,1,No,No,Yes,5,No,3,No,Yes,Yes,Don't know,2,5
2023-08-07 10:28:06,James Price,21-30,Male,Everday,Study,1,1,1,1,1,1,Yes,Yes,Yes,5,Yes,1,Yes,Yes,Yes,No,1,1
2023-08-07 21:49:18,Veronica Bray,21-30,Male,Everday,Study,1,3,1,1,2,2,Yes,Yes,Yes,0,Yes,1,No,Yes,Yes,No,1,1
2023-08-08 03:46:27,Lisa Lowe,<20,Female,Once or twice a week,Work,1,0,1,1,1,1,Yes,Yes,Yes,5,Yes,2,Yes,Yes,Yes,No,1,1
2023-08-08 04:12:53,Katelyn Edwards,<20,Male,Everday,Study,1,2,2,2,2,2,Yes,Yes,Yes,5,Yes,1,Yes,Yes,Yes,No,1,1
2023-08-08 10:24:58,Anna Stewart,<20,Male,Once or twice a month,Study,3,3,1,3,2,3,Don't know,Yes,Yes,5,Maybe,2,Don't know,No,Yes,Don't know,2,1
2023-08-08 16:47:11,Crystal Ponce,50+,Female,Once or twice a week,Leisure,2,2,2,5,4,2,Don't know,Yes,No,5,Maybe,3,Don't know,Don't know,No,No,2,4
2023-08-08 21:37:37,Ms. Amanda Davis,<20,Male,Once or twice a year,Leisure,2,2,2,2,2,6,Yes,Yes,Yes,0,Yes,2,Don't know,Don't know,Yes,No,2,1
2023-08-10 15:32:12,Gabriel Wilson,<20,Male,Everday,Study,4,2,2,1,1,4,Yes,Yes,Yes,4,Yes,2,Don't know,Yes,Yes,No,2,1
2023-08-10 23:39:00,Helen Hall,<20,Male,Once or twice a month,Study,7,2,3,3,3,2,Don't know,Yes,No,4,Maybe,6,No,Don't know,No,Don't know,4,2
2023-08-11 15:34:44,James Smith,<20,Female,Once or twice a month,Work,1,0,1,2,2,2,Yes,Yes,Yes,5,Yes,2,Yes,Yes,Yes,No,1,1
2023-08-11 20:39:06,Larry Donovan,21-30,Male,Everday,Study,1,5,1,2,4,2,Yes,Yes,Yes,5,Yes,2,No,Yes,Yes,No,1,1
2023-08-12 03:16:25,Patrick Gonzalez,<20,Male,Once or twice a year,Leisure,2,2,2,2,2,5,Don't know,Don't know,No,1,Yes,6,Don't know,Don't know,Yes,Yes,3,4
2023-08-12 06:11:31,Steven Mathis,<20,Male,Once or twice a year,Going somewhere ,1,4,2,3,2,4,Don't know,No,Yes,5,Maybe,2,No,Yes,Yes,Don't know,2,1
2023-08-12 08:57:24,Christopher Young,<20,Male,Everday,Study,1,2,1,1,1,1,Yes,Yes,Yes,5,Yes,1,No,Yes,Yes,No,1,1
2023-08-12 17:08:37,Janet Aguirre,21-30,Male,Everday,Study,1,2,1,1,1,6,Yes,Yes,Yes,5,Yes,3,Yes,Yes,Yes,No,1,1
2023-08-12 18:27:18,James Cannon,<20,Male,Once or twice a month,Study,2,1,1,3,1,7,Yes,Yes,Yes,3,Yes,3,Don't know,Yes,Yes,No,1,4
2023-08-13 11:06:13,Debra Aguilar,<20,Male,Once or twice a year,Leisure,1,1,1,2,2,3,Don't know,No,No,3,Maybe,3,Yes,Don't know,Yes,Don't know,1,1
2023-08-14 00:10:32,Samantha Byrd,<20,Male,Once or twice a year,Study,1,1,1,2,1,2,No,Yes,Yes,4,Yes,1,No,Yes,Yes,No,1,1
2023-08-14 08:07:29,Linda Davis,21-30,Male,Once or twice a week,Work,1,2,1,2,2,1,Don't know,Yes,Yes,5,Yes,2,Yes,Yes,No,No,1,1
2023-08-16 10:08:10,Michelle Nelson,<20,Female,Once or twice a year,Leisure,3,1,1,3,2,2,Yes,Yes,No,5,No,3,Don't know,Yes,Yes,No,3,1
2023-08-16 12:53:56,Lisa Hopkins,<20,Female,Once or twice a year,Work,4,3,2,3,2,2,Don't know,No,Yes,4,Maybe,3,No,Yes,Don't know,Yes,2,4
2023-08-16 17:01:18,Kenneth Keller,<20,Male,Once or twice a year,Study,4,4,2,3,1,4,Don't know,Don't know,Yes,3,Maybe,3,No,Don't know,Yes,Don't know,3,2
2023-08-16 19:44:52,Jordan Martinez,<20,Male,Everday,Study,1,1,1,2,2,2,Yes,Yes,Yes,5,Yes,3,Yes,Yes,Yes,No,1,1
2023-08-16 20:38:06,Thomas Martinez,<20,Female,Once or twice a week,Leisure,3,4,1,3,2,3,Don't know,Yes,Yes,4,Yes,3,Yes,Don't know,Don't know,No,2,3
2023-08-16 22:08:52,Julie Gibson,<20,Male,Once or twice a month,Leisure,5,2,2,2,2,1,Yes,Yes,Yes,4,No,2,Don't know,Don't know,Don't know,No,2,1
2023-08-16 23:45:59,Jason Bennett,<20,Male,Once or twice a month,Work,1,3,1,5,2,1,Yes,Yes,Yes,5,Maybe,2,Yes,Yes,Yes,No,1,1
2023-08-17 01:23:30,Gabriela Short,<20,Male,Once or twice a year,Leisure,6,4,3,3,2,6,Yes,Yes,Yes,5,Yes,3,No,Yes,Yes,No,1,5
2023-08-17 14:20:57,David Castillo,<20,Male,Once or twice a week,Leisure,5,3,3,3,3,2,Don't know,Yes,Yes,4,Maybe,3,No,No,No,Don't know,2,3
2023-08-18 02:41:21,Allison Cummings,<20,Female,Once or twice a month,Entertainment ,2,3,1,2,2,1,No,Yes,Yes,5,Yes,1,Don't know,No,Yes,Yes,1,1
2023-08-18 19:30:26,Jared Duran,21-30,Male,Once or twice a week,Study,1,3,2,2,2,6,No,Yes,Yes,5,Yes,1,Don't know,No,Yes,Don't know,2,1
2023-08-19 13:06:05,Jeffrey King,<20,Male,Once or twice a year,Study,1,3,2,3,2,2,Yes,Don't know,Yes,2,No,3,No,Yes,Yes,Yes,1,2
2023-08-20 06:27:41,Darren Campbell,50+,Male,Everday,Work,1,1,1,1,1,2,Yes,Yes,Yes,5,Yes,2,Yes,Yes,No,No,1,1
2023-08-20 13:58:39,Linda Noble,<20,Male,Once or twice a year,For going market ,2,2,2,2,2,6,No,No,Yes,5,Maybe,3,Don't know,Don't know,No,Don't know,3,4
2023-08-20 23:51:26,Kelly Miller,<20,Male,Everday,Study,1,3,1,2,1,2,Yes,Yes,Yes,4,Yes,1,No,Yes,Yes,No,2,1
2023-08-21 17:04:00,Joseph Nunez,50+,Male,Everday,Study,1,2,1,2,2,3,Yes,Yes,Yes,5,Yes,1,No,Yes,Yes,No,1,1
2023-08-21 21:29:41,Brittney Johnson,<20,Male,Once or twice a week,Work,1,3,1,3,2,4,Yes,Yes,Yes,4,Yes,3,No,No,Yes,Don't know,1,1
2023-08-22 21:23:41,Renee Cannon,<20,Male,Once or twice a year,For going market ,1,1,1,2,2,2,Yes,Yes,Yes,5,Yes,3,Don't know,No,Yes,No,2,1
2023-08-24 14:10:18,Michael Jenkins,21-30,Male,Everday,Study,1,4,1,2,1,5,Yes,Yes,Yes,5,Yes,3,Yes,Yes,Yes,No,2,1
2023-08-25 03:08:32,James Cobb,<20,Male,Once or twice a month,Work,1,2,2,2,1,2,Yes,Yes,Yes,5,Yes,3,Yes,Yes,Yes,Yes,2,1
2023-08-26 08:16:22,Tonya Barron,<20,Male,Once or twice a year,Work,1,2,1,3,2,6,Don't know,Don't know,No,3,Maybe,1,Don't know,Don't know,Don't know,Don't know,1,1
2023-08-26 09:27:03,Kelly Ramsey,<20,Male,Once or twice a year,Leisure,6,2,2,3,2,3,Don't know,No,Yes,5,Maybe,3,No,Don't know,No,Don't know,2,2
2023-08-26 11:22:06,Thomas Marquez,<20,Male,Once or twice a month,Study,1,3,1,2,1,3,Yes,Yes,Yes,5,Maybe,3,Yes,Yes,Yes,No,1,1
2023-08-26 21:03:28,Jessica Schultz,<20,Male,Everday,Study,1,2,1,2,1,1,Yes,Yes,Yes,3,Yes,0,Yes,Yes,Yes,No,1,1
2023-08-27 03:48:06,Stephanie Duncan,<20,Female,Everday,Study,1,3,1,4,1,2,Yes,Yes,Yes,5,Yes,3,Yes,Yes,Yes,Yes,2,2
2023-08-27 11:14:07,Jeremy Sanchez,<20,Male,Everday,Study,1,1,1,1,2,2,Yes,Yes,Yes,5,Yes,1,Yes,Yes,Yes,No,1,1
2023-08-27 14:10:21,Sarah Peters,<20,Male,Everday,Study,1,2,2,3,2,3,Yes,Yes,Yes,4,Yes,3,Don't know,Don't know,Yes,No,2,3
2023-08-28 10:29:13,Andrew Anderson,<20,Male,Once or twice a month,Going somewhere ,1,2,1,3,2,4,Don't know,Yes,Yes,2,Yes,1,Yes,Yes,Yes,Yes,3,3
2023-08-29 00:54:51,Michael Walker,<20,Female,Once or twice a year,Going somewhere ,4,3,2,3,2,2,Don't know,Yes,No,3,Yes,2,Don't know,Don't know,No,Don't know,2,2
2023-08-30 03:08:40,Shannon Todd,<20,Male,Everday,Study,1,2,1,1,1,2,Yes,Yes,Yes,1,Yes,1,Yes,Yes,Yes,No,1,1
2023-08-30 13:59:02,Matthew Mcneil,<20,Female,Once or twice a year,Leisure,6,3,2,3,2,4,Don't know,No,No,5,Maybe,3,Don't know,Don't know,Yes,Don't know,1,3
2023-08-31 00:25:58,Gina Jennings,<20,Male,Everday,Study,2,3,1,2,2,2,Yes,Yes,Yes,5,Yes,1,Yes,Yes,Yes,No,1,1
2023-08-31 10:32:59,Justin Kelly,<20,Male,Once or twice a month,Study,1,2,2,3,1,2,No,Yes,Yes,5,Yes,3,No,Yes,Yes,No,2,1
2023-08-31 21:14:16,Jeffrey Alvarado,50+,Male,Once or twice a month,Study,1,2,1,1,1,1,Yes,Yes,Yes,5,Yes,2,Yes,Yes,Yes,No,1,1
2023-09-01 07:20:29,Julie Thomas,<20,Male,Once or twice a year,Work,1,4,2,3,2,3,Don't know,Don't know,Yes,1,Maybe,3,No,Don't know,Yes,Don't know,1,2
2023-09-01 14:36:38,Nicole Finley,<20,Female,Once or twice a year,Study,1,3,2,3,2,3,Don't know,Don't know,Yes,5,No,3,Don't know,Don't know,No,Don't know,1,5
2023-09-01 17:05:04,John Fernandez,50+,Male,Once or twice a year,Leisure,6,2,1,2,2,3,Yes,Yes,Yes,5,Maybe,5,Don't know,Don't know,Yes,Don't know,1,4
2023-09-01 17:51:06,Michele Smith,<20,Male,Everday,Study,1,1,1,2,1,1,Yes,Yes,Yes,5,Yes,1,Yes,Yes,Yes,No,1,1
2023-09-02 15:32:26,Scott Richards,21-30,Male,Everday,Study,1,0,1,2,1,2,Yes,Yes,Yes,4,Yes,1,Yes,Yes,Yes,No,0,1
2023-09-02 18:17:08,Jennifer Clark,<20,Male,Everday,Study,1,3,4,2,1,2,Yes,Yes,Yes,2,Yes,2,No,Yes,Yes,Yes,1,1
2023-09-02 21:09:23,Zachary Taylor,<20,Male,Everday,Work,2,2,1,3,2,4,No,Yes,Yes,5,Maybe,3,Don't know,Yes,Yes,No,2,4
2023-09-03 02:11:15,Katherine James,<20,Male,Once or twice a year,Market or other places ,1,3,3,3,2,5,Don't know,No,Yes,5,No,3,No,Yes,Don't know,Don't know,3,2
2023-09-03 16:17:32,Angela Cordova,<20,Male,Once or twice a month,Work,1,2,1,2,2,2,Yes,Yes,Yes,4,Yes,3,Yes,Yes,Yes,No,2,1
2023-09-04 01:39:25,Adrian Barnes DDS,<20,Male,Once or twice a year,Study,3,5,2,3,2,2,Yes,Yes,Yes,5,Maybe,4,Don't know,Yes,Yes,Don't know,1,2
2023-09-04 06:52:23,Patrick Saunders,<20,Male,Everday,Work,1,1,1,2,2,2,Yes,Yes,Yes,5,Maybe,3,Yes,Yes,Yes,No,1,1
2023-09-05 04:04:06,Walter Johnson,<20,Male,Everday,Leisure,1,2,1,1,1,1,Yes,Yes,Yes,2,Yes,2,Yes,Yes,Yes,No,2,1
2023-09-05 21:45:58,Kayla Hernandez,<20,Male,Everday,Study,1,6,1,1,1,2,Yes,Yes,Yes,5,Yes,1,No,Yes,Yes,No,2,1
2023-09-06 11:09:37,Kevin Ramirez,<20,Female,Once or twice a month,Leisure,1,2,1,2,1,2,Don't know,No,Yes,0,Yes,2,Don't know,Don't know,No,No,2,1
2023-09-06 12:55:22,Colleen Cruz,<20,Male,Everday,Work,3,2,1,0,1,1,Yes,Yes,Yes,5,Yes,1,Yes,Yes,Yes,No,0,1
2023-09-06 13:04:30,Gina Holloway,<20,Male,Once or twice a week,Work,1,3,1,2,1,2,Yes,Yes,Yes,5,Yes,3,Yes,Yes,Yes,No,1,2
2023-09-06 22:27:01,Brandon Moore,<20,Female,Everday,Study,2,2,3,3,1,3,Don't know,No,Yes,2,No,2,Yes,No,Yes,No,2,4
2023-09-07 06:15:39,Kristy Brown,<20,Female,Once or twice a year,Leisure,5,2,2,3,2,2,Don't know,Don't know,No,4,Maybe,3,Don't know,Don't know,Don't know,Don't know,2,2
2023-09-07 18:06:11,Karen Flores PhD,<20,Male,Everday,Study,1,0,1,2,1,1,Yes,Yes,Yes,5,Yes,1,Yes,Yes,Yes,No,1,1
2023-09-08 03:16:04,Jeffrey Beck,21-30,Female,Once or twice a year,Work,2,5,1,3,2,6,Yes,Yes,Yes,4,No,3,Yes,Yes,Yes,Don't know,1,2
2023-09-08 05:05:01,Pamela Mcclure,<20,Male,Once or twice a month,Work,4,2,1,3,2,3,Don't know,Don't know,Yes,1,No,1,Don't know,Don't know,No,No,3,3
2023-09-08 11:44:15,Jeffrey Johnson,50+,Female,Once or twice a week,Work,5,3,2,2,2,2,Yes,No,Yes,4,Maybe,3,No,Yes,Yes,Don't know,1,4
2023-09-08 22:28:04,James Cooper,<20,Female,Once or twice a month,Leisure,1,3,1,3,1,2,No,No,Yes,1,Yes,3,No,Yes,Yes,No,2,3
2023-09-10 02:36:21,Robert Lopez,<20,Female,Everday,Work,2,3,1,2,2,2,Don't know,Yes,No,3,Maybe,1,No,Don't know,Yes,Don't know,2,2
2023-09-10 06:11:02,Kimberly Morgan,<20,Male,Once or twice a week,Study,1,4,1,3,3,6,Yes,Yes,Yes,5,Yes,0,No,Yes,Yes,No,1,1
2023-09-10 13:55:08,Candice Simpson,<20,Male,Everday,Work,1,2,1,1,1,1,Yes,Yes,Yes,5,Yes,1,Yes,Yes,Yes,No,2,1
2023-09-10 18:05:53,Scott Rivera,<20,Female,Once or twice a year,Study,3,2,3,3,2,2,Don't know,No,Yes,3,Maybe,3,Don't know,Don't know,Yes,Don't know,2,4
2023-09-11 01:56:17,Zachary Austin,<20,Female,Once or twice a month,Leisure,1,2,2,3,1,3,Yes,Yes,Yes,3,Maybe,3,Don't know,Yes,Don't know,Don't know,3,2
2023-09-11 22:31:14,Kelly Callahan,<20,Male,Everday,Other chores,2,3,1,3,2,2,Don't know,Yes,Yes,5,Maybe,3,Don't know,Yes,No,Yes,2,1
2023-09-11 22:46:00,Karina Meyer,<20,Female,Once or twice a year,Leisure,5,4,2,5,4,3,Don't know,Don't know,Yes,5,Maybe,3,No,No,Yes,Don't know,2,3
2023-09-12 12:35:34,Hannah Grant,<20,Male,Once or twice a year,Study,5,2,1,3,2,6,Yes,Yes,No,2,No,2,No,Don't know,Yes,No,2,5
2023-09-12 13:59:16,Whitney Steele,<20,Male,Once or twice a week,Leisure,4,4,2,3,2,3,Don't know,No,Yes,4,Maybe,3,Don't know,Don't know,Yes,Don't know,3,4
2023-09-14 09:39:52,Jennifer Lynch,<20,Female,Once or twice a year,Leisure,4,2,2,2,2,4,Don't know,Yes,Yes,3,Maybe,3,Don't know,Don't know,Yes,Don't know,2,1
2023-09-14 23:36:17,Hannah Adams,21-30,Male,Once or twice a month,Study,1,4,1,1,1,2,Yes,Yes,Yes,5,No,6,No,Yes,Yes,Yes,1,1
2023-09-15 11:52:18,Hannah Cooke,21-30,Male,Everday,Work,2,2,1,3,2,2,Yes,Yes,Yes,5,Yes,1,Yes,Yes,Yes,No,2,1
2023-09-16 00:56:03,Cindy Clayton,21-30,Male,Everday,Study,1,2,2,3,1,2,Yes,Yes,Yes,2,Yes,2,Yes,Yes,Yes,No,1,1
2023-09-17 03:40:48,Mrs. Mary Hammond,<20,Female,Everday,Study,1,3,1,2,2,2,Yes,Yes,Yes,4,Yes,3,Yes,Yes,Yes,No,2,4
2023-09-17 04:06:55,Robert Parker,<20,Male,Once or twice a week,Leisure,1,2,1,1,4,4,No,Yes,Yes,1,Maybe,3,No,Don't know,Yes,No,2,1
